,reward,episode,name
0,51.0,25,lr_0.005_gamma_0.95_decay_rate_0.0003_layers_64_64
1,-456.0,50,lr_0.005_gamma_0.95_decay_rate_0.0003_layers_64_64
2,-399.0,75,lr_0.005_gamma_0.95_decay_rate_0.0003_layers_64_64
3,35.0,100,lr_0.005_gamma_0.95_decay_rate_0.0003_layers_64_64
4,-126.0,125,lr_0.005_gamma_0.95_decay_rate_0.0003_layers_64_64
5,147.0,150,lr_0.005_gamma_0.95_decay_rate_0.0003_layers_64_64
6,-9.0,175,lr_0.005_gamma_0.95_decay_rate_0.0003_layers_64_64
7,-149.0,200,lr_0.005_gamma_0.95_decay_rate_0.0003_layers_64_64
8,-279.0,225,lr_0.005_gamma_0.95_decay_rate_0.0003_layers_64_64
9,-266.0,250,lr_0.005_gamma_0.95_decay_rate_0.0003_layers_64_64
10,-225.0,275,lr_0.005_gamma_0.95_decay_rate_0.0003_layers_64_64
11,27.0,300,lr_0.005_gamma_0.95_decay_rate_0.0003_layers_64_64
12,18.0,325,lr_0.005_gamma_0.95_decay_rate_0.0003_layers_64_64
13,-294.0,350,lr_0.005_gamma_0.95_decay_rate_0.0003_layers_64_64
14,-288.0,375,lr_0.005_gamma_0.95_decay_rate_0.0003_layers_64_64
15,-149.0,400,lr_0.005_gamma_0.95_decay_rate_0.0003_layers_64_64
16,86.0,425,lr_0.005_gamma_0.95_decay_rate_0.0003_layers_64_64
17,-396.0,450,lr_0.005_gamma_0.95_decay_rate_0.0003_layers_64_64
18,-262.0,475,lr_0.005_gamma_0.95_decay_rate_0.0003_layers_64_64
19,-122.0,500,lr_0.005_gamma_0.95_decay_rate_0.0003_layers_64_64
20,-111.0,525,lr_0.005_gamma_0.95_decay_rate_0.0003_layers_64_64
21,48.0,550,lr_0.005_gamma_0.95_decay_rate_0.0003_layers_64_64
22,16.0,575,lr_0.005_gamma_0.95_decay_rate_0.0003_layers_64_64
23,-272.0,600,lr_0.005_gamma_0.95_decay_rate_0.0003_layers_64_64
24,-194.0,625,lr_0.005_gamma_0.95_decay_rate_0.0003_layers_64_64
25,133.0,650,lr_0.005_gamma_0.95_decay_rate_0.0003_layers_64_64
26,-207.0,675,lr_0.005_gamma_0.95_decay_rate_0.0003_layers_64_64
27,-61.0,700,lr_0.005_gamma_0.95_decay_rate_0.0003_layers_64_64
28,-384.0,725,lr_0.005_gamma_0.95_decay_rate_0.0003_layers_64_64
29,10.0,750,lr_0.005_gamma_0.95_decay_rate_0.0003_layers_64_64
30,51.0,775,lr_0.005_gamma_0.95_decay_rate_0.0003_layers_64_64
31,-352.0,800,lr_0.005_gamma_0.95_decay_rate_0.0003_layers_64_64
32,-136.0,825,lr_0.005_gamma_0.95_decay_rate_0.0003_layers_64_64
33,-551.0,850,lr_0.005_gamma_0.95_decay_rate_0.0003_layers_64_64
34,-212.0,875,lr_0.005_gamma_0.95_decay_rate_0.0003_layers_64_64
35,-108.0,900,lr_0.005_gamma_0.95_decay_rate_0.0003_layers_64_64
36,-105.0,925,lr_0.005_gamma_0.95_decay_rate_0.0003_layers_64_64
37,-162.0,950,lr_0.005_gamma_0.95_decay_rate_0.0003_layers_64_64
38,65.0,975,lr_0.005_gamma_0.95_decay_rate_0.0003_layers_64_64
39,-57.0,1000,lr_0.005_gamma_0.95_decay_rate_0.0003_layers_64_64
40,39.0,1025,lr_0.005_gamma_0.95_decay_rate_0.0003_layers_64_64
41,-266.0,1050,lr_0.005_gamma_0.95_decay_rate_0.0003_layers_64_64
42,-120.0,1075,lr_0.005_gamma_0.95_decay_rate_0.0003_layers_64_64
43,-81.0,1100,lr_0.005_gamma_0.95_decay_rate_0.0003_layers_64_64
44,-359.0,1125,lr_0.005_gamma_0.95_decay_rate_0.0003_layers_64_64
45,-36.0,1150,lr_0.005_gamma_0.95_decay_rate_0.0003_layers_64_64
46,-187.0,1175,lr_0.005_gamma_0.95_decay_rate_0.0003_layers_64_64
47,-433.0,1200,lr_0.005_gamma_0.95_decay_rate_0.0003_layers_64_64
48,-353.0,1225,lr_0.005_gamma_0.95_decay_rate_0.0003_layers_64_64
49,-167.0,1250,lr_0.005_gamma_0.95_decay_rate_0.0003_layers_64_64
50,-81.0,1275,lr_0.005_gamma_0.95_decay_rate_0.0003_layers_64_64
51,16.0,1300,lr_0.005_gamma_0.95_decay_rate_0.0003_layers_64_64
52,-208.0,1325,lr_0.005_gamma_0.95_decay_rate_0.0003_layers_64_64
53,62.0,1350,lr_0.005_gamma_0.95_decay_rate_0.0003_layers_64_64
54,-30.0,1375,lr_0.005_gamma_0.95_decay_rate_0.0003_layers_64_64
55,16.0,1400,lr_0.005_gamma_0.95_decay_rate_0.0003_layers_64_64
56,-212.0,1425,lr_0.005_gamma_0.95_decay_rate_0.0003_layers_64_64
57,-37.0,1450,lr_0.005_gamma_0.95_decay_rate_0.0003_layers_64_64
58,-45.0,1475,lr_0.005_gamma_0.95_decay_rate_0.0003_layers_64_64
59,-56.0,1500,lr_0.005_gamma_0.95_decay_rate_0.0003_layers_64_64
60,-117.0,1525,lr_0.005_gamma_0.95_decay_rate_0.0003_layers_64_64
61,-283.0,1550,lr_0.005_gamma_0.95_decay_rate_0.0003_layers_64_64
62,7.0,1575,lr_0.005_gamma_0.95_decay_rate_0.0003_layers_64_64
63,-81.0,1600,lr_0.005_gamma_0.95_decay_rate_0.0003_layers_64_64
64,-183.0,1625,lr_0.005_gamma_0.95_decay_rate_0.0003_layers_64_64
65,-208.0,1650,lr_0.005_gamma_0.95_decay_rate_0.0003_layers_64_64
66,62.0,1675,lr_0.005_gamma_0.95_decay_rate_0.0003_layers_64_64
67,70.0,1700,lr_0.005_gamma_0.95_decay_rate_0.0003_layers_64_64
68,-170.0,1725,lr_0.005_gamma_0.95_decay_rate_0.0003_layers_64_64
69,-167.0,1750,lr_0.005_gamma_0.95_decay_rate_0.0003_layers_64_64
70,-213.0,1775,lr_0.005_gamma_0.95_decay_rate_0.0003_layers_64_64
71,-9.0,1800,lr_0.005_gamma_0.95_decay_rate_0.0003_layers_64_64
72,-55.0,1825,lr_0.005_gamma_0.95_decay_rate_0.0003_layers_64_64
73,45.0,1850,lr_0.005_gamma_0.95_decay_rate_0.0003_layers_64_64
74,-117.0,1875,lr_0.005_gamma_0.95_decay_rate_0.0003_layers_64_64
75,-96.0,1900,lr_0.005_gamma_0.95_decay_rate_0.0003_layers_64_64
76,-207.0,1925,lr_0.005_gamma_0.95_decay_rate_0.0003_layers_64_64
77,-5.0,1950,lr_0.005_gamma_0.95_decay_rate_0.0003_layers_64_64
78,-159.0,1975,lr_0.005_gamma_0.95_decay_rate_0.0003_layers_64_64
79,-146.0,2000,lr_0.005_gamma_0.95_decay_rate_0.0003_layers_64_64
80,-62.0,2025,lr_0.005_gamma_0.95_decay_rate_0.0003_layers_64_64
81,0.0,2050,lr_0.005_gamma_0.95_decay_rate_0.0003_layers_64_64
82,18.0,2075,lr_0.005_gamma_0.95_decay_rate_0.0003_layers_64_64
83,210.0,2100,lr_0.005_gamma_0.95_decay_rate_0.0003_layers_64_64
84,49.0,2125,lr_0.005_gamma_0.95_decay_rate_0.0003_layers_64_64
85,18.0,2150,lr_0.005_gamma_0.95_decay_rate_0.0003_layers_64_64
86,160.0,2175,lr_0.005_gamma_0.95_decay_rate_0.0003_layers_64_64
87,-33.0,2200,lr_0.005_gamma_0.95_decay_rate_0.0003_layers_64_64
88,337.0,2225,lr_0.005_gamma_0.95_decay_rate_0.0003_layers_64_64
89,4.0,2250,lr_0.005_gamma_0.95_decay_rate_0.0003_layers_64_64
90,330.0,2275,lr_0.005_gamma_0.95_decay_rate_0.0003_layers_64_64
91,103.0,2300,lr_0.005_gamma_0.95_decay_rate_0.0003_layers_64_64
92,238.0,2325,lr_0.005_gamma_0.95_decay_rate_0.0003_layers_64_64
