,reward,episode,name
0,-104.0,25,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_16_32
1,-248.0,50,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_16_32
2,179.0,75,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_16_32
3,211.0,100,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_16_32
4,-77.0,125,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_16_32
5,-45.0,150,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_16_32
6,93.0,175,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_16_32
7,27.0,200,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_16_32
8,-126.0,225,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_16_32
9,-45.0,250,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_16_32
10,-68.0,275,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_16_32
11,-104.0,300,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_16_32
12,-29.0,325,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_16_32
13,-482.0,350,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_16_32
14,5.0,375,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_16_32
15,-91.0,400,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_16_32
16,-66.0,425,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_16_32
17,-162.0,450,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_16_32
18,126.0,475,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_16_32
19,128.0,500,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_16_32
20,-244.0,525,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_16_32
21,130.0,550,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_16_32
22,-10.0,575,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_16_32
23,-247.0,600,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_16_32
24,243.0,625,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_16_32
25,437.0,650,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_16_32
26,78.0,675,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_16_32
27,74.0,700,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_16_32
28,98.0,725,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_16_32
29,89.0,750,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_16_32
30,12.0,775,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_16_32
31,148.0,800,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_16_32
32,430.0,825,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_16_32
33,78.0,850,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_16_32
34,16.0,875,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_16_32
35,117.0,900,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_16_32
36,320.0,925,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_16_32
37,364.0,950,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_16_32
38,171.0,975,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_16_32
39,211.0,1000,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_16_32
40,27.0,1025,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_16_32
41,188.0,1050,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_16_32
42,471.0,1075,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_16_32
43,241.0,1100,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_16_32
44,170.0,1125,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_16_32
45,667.0,1150,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_16_32
46,189.0,1175,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_16_32
47,174.0,1200,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_16_32
48,611.0,1225,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_16_32
49,284.0,1250,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_16_32
50,531.0,1275,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_16_32
51,409.0,1300,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_16_32
52,526.0,1325,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_16_32
53,-6.0,1350,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_16_32
54,342.0,1375,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_16_32
55,184.0,1400,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_16_32
56,258.0,1425,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_16_32
57,260.0,1450,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_16_32
58,344.0,1475,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_16_32
59,366.0,1500,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_16_32
60,366.0,1525,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_16_32
61,467.0,1550,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_16_32
62,432.0,1575,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_16_32
63,225.0,1600,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_16_32
64,301.0,1625,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_16_32
65,592.0,1650,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_16_32
66,495.0,1675,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_16_32
67,526.0,1700,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_16_32
