,reward,episode,name
0,-7.0,25,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_256_128
1,-259.0,50,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_256_128
2,-236.0,75,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_256_128
3,5.0,100,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_256_128
4,-90.0,125,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_256_128
5,-299.0,150,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_256_128
6,-140.0,175,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_256_128
7,-54.0,200,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_256_128
8,-228.0,225,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_256_128
9,45.0,250,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_256_128
10,-81.0,275,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_256_128
11,-95.0,300,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_256_128
12,-250.0,325,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_256_128
13,75.0,350,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_256_128
14,-277.0,375,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_256_128
15,-223.0,400,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_256_128
16,-165.0,425,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_256_128
17,-330.0,450,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_256_128
18,-256.0,475,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_256_128
19,-39.0,500,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_256_128
20,117.0,525,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_256_128
21,40.0,550,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_256_128
22,-153.0,575,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_256_128
23,-166.0,600,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_256_128
24,368.0,625,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_256_128
25,21.0,650,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_256_128
26,64.0,675,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_256_128
27,125.0,700,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_256_128
28,110.0,725,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_256_128
29,243.0,750,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_256_128
30,164.0,775,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_256_128
31,-69.0,800,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_256_128
32,-59.0,825,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_256_128
33,83.0,850,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_256_128
34,-64.0,875,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_256_128
35,7.0,900,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_256_128
36,-262.0,925,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_256_128
37,-90.0,950,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_256_128
38,61.0,975,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_256_128
39,-59.0,1000,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_256_128
40,-145.0,1025,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_256_128
41,-64.0,1050,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_256_128
42,189.0,1075,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_256_128
43,-185.0,1100,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_256_128
44,224.0,1125,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_256_128
45,-245.0,1150,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_256_128
46,-47.0,1175,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_256_128
47,122.0,1200,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_256_128
48,-75.0,1225,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_256_128
49,-104.0,1250,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_256_128
50,169.0,1275,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_256_128
51,233.0,1300,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_256_128
52,51.0,1325,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_256_128
53,118.0,1350,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_256_128
54,202.0,1375,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_256_128
55,-86.0,1400,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_256_128
56,58.0,1425,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_256_128
57,287.0,1450,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_256_128
58,221.0,1475,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_256_128
59,148.0,1500,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_256_128
60,180.0,1525,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_256_128
61,233.0,1550,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_256_128
62,105.0,1575,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_256_128
63,144.0,1600,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_256_128
64,-56.0,1625,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_256_128
65,396.0,1650,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_256_128
66,152.0,1675,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_256_128
