,reward,episode,name
0,-45.0,25,lr_0.002_gamma_0.95_decay_rate_0.0003_layers_64_64
1,-279.0,50,lr_0.002_gamma_0.95_decay_rate_0.0003_layers_64_64
2,-331.0,75,lr_0.002_gamma_0.95_decay_rate_0.0003_layers_64_64
3,-348.0,100,lr_0.002_gamma_0.95_decay_rate_0.0003_layers_64_64
4,-181.0,125,lr_0.002_gamma_0.95_decay_rate_0.0003_layers_64_64
5,59.0,150,lr_0.002_gamma_0.95_decay_rate_0.0003_layers_64_64
6,147.0,175,lr_0.002_gamma_0.95_decay_rate_0.0003_layers_64_64
7,-19.0,200,lr_0.002_gamma_0.95_decay_rate_0.0003_layers_64_64
8,-190.0,225,lr_0.002_gamma_0.95_decay_rate_0.0003_layers_64_64
9,-81.0,250,lr_0.002_gamma_0.95_decay_rate_0.0003_layers_64_64
10,-198.0,275,lr_0.002_gamma_0.95_decay_rate_0.0003_layers_64_64
11,-104.0,300,lr_0.002_gamma_0.95_decay_rate_0.0003_layers_64_64
12,-72.0,325,lr_0.002_gamma_0.95_decay_rate_0.0003_layers_64_64
13,256.0,350,lr_0.002_gamma_0.95_decay_rate_0.0003_layers_64_64
14,-352.0,375,lr_0.002_gamma_0.95_decay_rate_0.0003_layers_64_64
15,-117.0,400,lr_0.002_gamma_0.95_decay_rate_0.0003_layers_64_64
16,49.0,425,lr_0.002_gamma_0.95_decay_rate_0.0003_layers_64_64
17,-146.0,450,lr_0.002_gamma_0.95_decay_rate_0.0003_layers_64_64
18,-38.0,475,lr_0.002_gamma_0.95_decay_rate_0.0003_layers_64_64
19,80.0,500,lr_0.002_gamma_0.95_decay_rate_0.0003_layers_64_64
20,-7.0,525,lr_0.002_gamma_0.95_decay_rate_0.0003_layers_64_64
21,-410.0,550,lr_0.002_gamma_0.95_decay_rate_0.0003_layers_64_64
22,111.0,575,lr_0.002_gamma_0.95_decay_rate_0.0003_layers_64_64
23,-126.0,600,lr_0.002_gamma_0.95_decay_rate_0.0003_layers_64_64
24,-319.0,625,lr_0.002_gamma_0.95_decay_rate_0.0003_layers_64_64
25,-189.0,650,lr_0.002_gamma_0.95_decay_rate_0.0003_layers_64_64
26,-165.0,675,lr_0.002_gamma_0.95_decay_rate_0.0003_layers_64_64
27,18.0,700,lr_0.002_gamma_0.95_decay_rate_0.0003_layers_64_64
28,-230.0,725,lr_0.002_gamma_0.95_decay_rate_0.0003_layers_64_64
29,-65.0,750,lr_0.002_gamma_0.95_decay_rate_0.0003_layers_64_64
30,125.0,775,lr_0.002_gamma_0.95_decay_rate_0.0003_layers_64_64
31,-392.0,800,lr_0.002_gamma_0.95_decay_rate_0.0003_layers_64_64
32,-117.0,825,lr_0.002_gamma_0.95_decay_rate_0.0003_layers_64_64
33,7.0,850,lr_0.002_gamma_0.95_decay_rate_0.0003_layers_64_64
34,55.0,875,lr_0.002_gamma_0.95_decay_rate_0.0003_layers_64_64
35,12.0,900,lr_0.002_gamma_0.95_decay_rate_0.0003_layers_64_64
36,-86.0,925,lr_0.002_gamma_0.95_decay_rate_0.0003_layers_64_64
37,-36.0,950,lr_0.002_gamma_0.95_decay_rate_0.0003_layers_64_64
38,68.0,975,lr_0.002_gamma_0.95_decay_rate_0.0003_layers_64_64
39,81.0,1000,lr_0.002_gamma_0.95_decay_rate_0.0003_layers_64_64
40,145.0,1025,lr_0.002_gamma_0.95_decay_rate_0.0003_layers_64_64
41,181.0,1050,lr_0.002_gamma_0.95_decay_rate_0.0003_layers_64_64
42,-44.0,1075,lr_0.002_gamma_0.95_decay_rate_0.0003_layers_64_64
43,137.0,1100,lr_0.002_gamma_0.95_decay_rate_0.0003_layers_64_64
44,23.0,1125,lr_0.002_gamma_0.95_decay_rate_0.0003_layers_64_64
45,0.0,1150,lr_0.002_gamma_0.95_decay_rate_0.0003_layers_64_64
46,67.0,1175,lr_0.002_gamma_0.95_decay_rate_0.0003_layers_64_64
47,-165.0,1200,lr_0.002_gamma_0.95_decay_rate_0.0003_layers_64_64
48,378.0,1225,lr_0.002_gamma_0.95_decay_rate_0.0003_layers_64_64
49,161.0,1250,lr_0.002_gamma_0.95_decay_rate_0.0003_layers_64_64
50,-83.0,1275,lr_0.002_gamma_0.95_decay_rate_0.0003_layers_64_64
51,-199.0,1300,lr_0.002_gamma_0.95_decay_rate_0.0003_layers_64_64
52,-128.0,1325,lr_0.002_gamma_0.95_decay_rate_0.0003_layers_64_64
53,-11.0,1350,lr_0.002_gamma_0.95_decay_rate_0.0003_layers_64_64
54,63.0,1375,lr_0.002_gamma_0.95_decay_rate_0.0003_layers_64_64
55,-35.0,1400,lr_0.002_gamma_0.95_decay_rate_0.0003_layers_64_64
56,423.0,1425,lr_0.002_gamma_0.95_decay_rate_0.0003_layers_64_64
57,420.0,1450,lr_0.002_gamma_0.95_decay_rate_0.0003_layers_64_64
58,-53.0,1475,lr_0.002_gamma_0.95_decay_rate_0.0003_layers_64_64
59,32.0,1500,lr_0.002_gamma_0.95_decay_rate_0.0003_layers_64_64
60,114.0,1525,lr_0.002_gamma_0.95_decay_rate_0.0003_layers_64_64
61,171.0,1550,lr_0.002_gamma_0.95_decay_rate_0.0003_layers_64_64
62,189.0,1575,lr_0.002_gamma_0.95_decay_rate_0.0003_layers_64_64
63,-188.0,1600,lr_0.002_gamma_0.95_decay_rate_0.0003_layers_64_64
64,81.0,1625,lr_0.002_gamma_0.95_decay_rate_0.0003_layers_64_64
65,296.0,1650,lr_0.002_gamma_0.95_decay_rate_0.0003_layers_64_64
66,423.0,1675,lr_0.002_gamma_0.95_decay_rate_0.0003_layers_64_64
67,36.0,1700,lr_0.002_gamma_0.95_decay_rate_0.0003_layers_64_64
68,18.0,1725,lr_0.002_gamma_0.95_decay_rate_0.0003_layers_64_64
69,117.0,1750,lr_0.002_gamma_0.95_decay_rate_0.0003_layers_64_64
70,360.0,1775,lr_0.002_gamma_0.95_decay_rate_0.0003_layers_64_64
71,-95.0,1800,lr_0.002_gamma_0.95_decay_rate_0.0003_layers_64_64
72,326.0,1825,lr_0.002_gamma_0.95_decay_rate_0.0003_layers_64_64
73,162.0,1850,lr_0.002_gamma_0.95_decay_rate_0.0003_layers_64_64
74,324.0,1875,lr_0.002_gamma_0.95_decay_rate_0.0003_layers_64_64
75,481.0,1900,lr_0.002_gamma_0.95_decay_rate_0.0003_layers_64_64
76,399.0,1925,lr_0.002_gamma_0.95_decay_rate_0.0003_layers_64_64
77,55.0,1950,lr_0.002_gamma_0.95_decay_rate_0.0003_layers_64_64
78,319.0,1975,lr_0.002_gamma_0.95_decay_rate_0.0003_layers_64_64
79,129.0,2000,lr_0.002_gamma_0.95_decay_rate_0.0003_layers_64_64
80,556.0,2025,lr_0.002_gamma_0.95_decay_rate_0.0003_layers_64_64
81,269.0,2050,lr_0.002_gamma_0.95_decay_rate_0.0003_layers_64_64
82,504.0,2075,lr_0.002_gamma_0.95_decay_rate_0.0003_layers_64_64
83,549.0,2100,lr_0.002_gamma_0.95_decay_rate_0.0003_layers_64_64
84,70.0,2125,lr_0.002_gamma_0.95_decay_rate_0.0003_layers_64_64
85,333.0,2150,lr_0.002_gamma_0.95_decay_rate_0.0003_layers_64_64
86,387.0,2175,lr_0.002_gamma_0.95_decay_rate_0.0003_layers_64_64
87,249.0,2200,lr_0.002_gamma_0.95_decay_rate_0.0003_layers_64_64
88,433.0,2225,lr_0.002_gamma_0.95_decay_rate_0.0003_layers_64_64
89,423.0,2250,lr_0.002_gamma_0.95_decay_rate_0.0003_layers_64_64
90,178.0,2275,lr_0.002_gamma_0.95_decay_rate_0.0003_layers_64_64
91,299.0,2300,lr_0.002_gamma_0.95_decay_rate_0.0003_layers_64_64
92,548.0,2325,lr_0.002_gamma_0.95_decay_rate_0.0003_layers_64_64
93,248.0,2350,lr_0.002_gamma_0.95_decay_rate_0.0003_layers_64_64
94,339.0,2375,lr_0.002_gamma_0.95_decay_rate_0.0003_layers_64_64
95,464.0,2400,lr_0.002_gamma_0.95_decay_rate_0.0003_layers_64_64
96,619.0,2425,lr_0.002_gamma_0.95_decay_rate_0.0003_layers_64_64
97,786.0,2450,lr_0.002_gamma_0.95_decay_rate_0.0003_layers_64_64
98,414.0,2475,lr_0.002_gamma_0.95_decay_rate_0.0003_layers_64_64
99,283.0,2500,lr_0.002_gamma_0.95_decay_rate_0.0003_layers_64_64
100,558.0,2525,lr_0.002_gamma_0.95_decay_rate_0.0003_layers_64_64
101,495.0,2550,lr_0.002_gamma_0.95_decay_rate_0.0003_layers_64_64
102,386.0,2575,lr_0.002_gamma_0.95_decay_rate_0.0003_layers_64_64
103,316.0,2600,lr_0.002_gamma_0.95_decay_rate_0.0003_layers_64_64
104,547.0,2625,lr_0.002_gamma_0.95_decay_rate_0.0003_layers_64_64
105,337.0,2650,lr_0.002_gamma_0.95_decay_rate_0.0003_layers_64_64
106,539.0,2675,lr_0.002_gamma_0.95_decay_rate_0.0003_layers_64_64
107,652.0,2700,lr_0.002_gamma_0.95_decay_rate_0.0003_layers_64_64
108,657.0,2725,lr_0.002_gamma_0.95_decay_rate_0.0003_layers_64_64
109,596.0,2750,lr_0.002_gamma_0.95_decay_rate_0.0003_layers_64_64
110,948.0,2775,lr_0.002_gamma_0.95_decay_rate_0.0003_layers_64_64
111,531.0,2800,lr_0.002_gamma_0.95_decay_rate_0.0003_layers_64_64
112,922.0,2825,lr_0.002_gamma_0.95_decay_rate_0.0003_layers_64_64
113,645.0,2850,lr_0.002_gamma_0.95_decay_rate_0.0003_layers_64_64
114,522.0,2875,lr_0.002_gamma_0.95_decay_rate_0.0003_layers_64_64
115,594.0,2900,lr_0.002_gamma_0.95_decay_rate_0.0003_layers_64_64
116,741.0,2925,lr_0.002_gamma_0.95_decay_rate_0.0003_layers_64_64
117,828.0,2950,lr_0.002_gamma_0.95_decay_rate_0.0003_layers_64_64
118,386.0,2975,lr_0.002_gamma_0.95_decay_rate_0.0003_layers_64_64
119,605.0,3000,lr_0.002_gamma_0.95_decay_rate_0.0003_layers_64_64
120,257.0,3025,lr_0.002_gamma_0.95_decay_rate_0.0003_layers_64_64
121,690.0,3050,lr_0.002_gamma_0.95_decay_rate_0.0003_layers_64_64
122,422.0,3075,lr_0.002_gamma_0.95_decay_rate_0.0003_layers_64_64
123,630.0,3100,lr_0.002_gamma_0.95_decay_rate_0.0003_layers_64_64
124,751.0,3125,lr_0.002_gamma_0.95_decay_rate_0.0003_layers_64_64
125,747.0,3150,lr_0.002_gamma_0.95_decay_rate_0.0003_layers_64_64
126,865.0,3175,lr_0.002_gamma_0.95_decay_rate_0.0003_layers_64_64
127,358.0,3200,lr_0.002_gamma_0.95_decay_rate_0.0003_layers_64_64
128,526.0,3225,lr_0.002_gamma_0.95_decay_rate_0.0003_layers_64_64
129,738.0,3250,lr_0.002_gamma_0.95_decay_rate_0.0003_layers_64_64
