,reward,episode,name
0,-54.0,25,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_32_32
1,-217.0,50,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_32_32
2,-19.0,75,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_32_32
3,-481.0,100,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_32_32
4,-46.0,125,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_32_32
5,-263.0,150,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_32_32
6,-243.0,175,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_32_32
7,-505.0,200,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_32_32
8,38.0,225,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_32_32
9,-379.0,250,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_32_32
10,-361.0,275,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_32_32
11,-64.0,300,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_32_32
12,-117.0,325,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_32_32
13,-171.0,350,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_32_32
14,181.0,375,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_32_32
15,-118.0,400,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_32_32
16,-90.0,425,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_32_32
17,153.0,450,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_32_32
18,-88.0,475,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_32_32
19,-74.0,500,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_32_32
20,-134.0,525,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_32_32
21,285.0,550,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_32_32
22,144.0,575,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_32_32
23,-183.0,600,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_32_32
24,225.0,625,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_32_32
25,-114.0,650,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_32_32
26,-65.0,675,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_32_32
27,94.0,700,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_32_32
28,315.0,725,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_32_32
29,-88.0,750,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_32_32
30,-208.0,775,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_32_32
31,246.0,800,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_32_32
32,207.0,825,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_32_32
33,378.0,850,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_32_32
34,105.0,875,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_32_32
35,374.0,900,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_32_32
36,529.0,925,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_32_32
37,503.0,950,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_32_32
38,153.0,975,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_32_32
39,155.0,1000,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_32_32
40,20.0,1025,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_32_32
41,55.0,1050,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_32_32
42,312.0,1075,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_32_32
43,287.0,1100,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_32_32
44,93.0,1125,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_32_32
45,-82.0,1150,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_32_32
46,355.0,1175,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_32_32
47,-9.0,1200,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_32_32
48,170.0,1225,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_32_32
49,-32.0,1250,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_32_32
50,304.0,1275,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_32_32
51,241.0,1300,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_32_32
52,246.0,1325,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_32_32
53,35.0,1350,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_32_32
54,598.0,1375,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_32_32
55,348.0,1400,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_32_32
56,324.0,1425,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_32_32
57,-53.0,1450,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_32_32
58,431.0,1475,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_32_32
59,214.0,1500,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_32_32
60,206.0,1525,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_32_32
61,764.0,1550,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_32_32
62,346.0,1575,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_32_32
63,343.0,1600,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_32_32
64,350.0,1625,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_32_32
65,490.0,1650,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_32_32
66,364.0,1675,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_32_32
67,351.0,1700,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_32_32
68,539.0,1725,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_32_32
69,729.0,1750,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_32_32
70,508.0,1775,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_32_32
71,261.0,1800,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_32_32
72,368.0,1825,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_32_32
73,367.0,1850,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_32_32
74,386.0,1875,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_32_32
75,458.0,1900,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_32_32
76,772.0,1925,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_32_32
77,-40.0,1950,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_32_32
78,278.0,1975,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_32_32
79,634.0,2000,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_32_32
80,634.0,2025,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_32_32
81,400.0,2050,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_32_32
82,293.0,2075,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_32_32
83,417.0,2100,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_32_32
84,544.0,2125,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_32_32
85,783.0,2150,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_32_32
86,706.0,2175,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_32_32
87,326.0,2200,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_32_32
88,422.0,2225,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_32_32
89,935.0,2250,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_32_32
90,801.0,2275,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_32_32
91,589.0,2300,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_32_32
92,838.0,2325,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_32_32
93,553.0,2350,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_32_32
94,662.0,2375,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_32_32
95,879.0,2400,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_32_32
96,387.0,2425,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_32_32
97,715.0,2450,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_32_32
98,529.0,2475,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_32_32
99,490.0,2500,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_32_32
100,196.0,2525,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_32_32
101,576.0,2550,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_32_32
102,983.0,2575,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_32_32
103,648.0,2600,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_32_32
104,561.0,2625,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_32_32
105,775.0,2650,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_32_32
106,670.0,2675,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_32_32
107,886.0,2700,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_32_32
108,681.0,2725,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_32_32
109,976.0,2750,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_32_32
110,930.0,2775,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_32_32
111,661.0,2800,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_32_32
112,738.0,2825,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_32_32
113,585.0,2850,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_32_32
114,1062.0,2875,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_32_32
115,682.0,2900,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_32_32
116,564.0,2925,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_32_32
117,468.0,2950,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_32_32
118,323.0,2975,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_32_32
119,715.0,3000,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_32_32
120,847.0,3025,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_32_32
121,459.0,3050,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_32_32
122,845.0,3075,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_32_32
123,675.0,3100,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_32_32
124,810.0,3125,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_32_32
125,747.0,3150,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_32_32
126,918.0,3175,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_32_32
127,693.0,3200,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_32_32
128,653.0,3225,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_32_32
129,815.0,3250,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_32_32
130,835.0,3275,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_32_32
131,628.0,3300,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_32_32
132,515.0,3325,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_32_32
133,722.0,3350,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_32_32
134,868.0,3375,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_32_32
135,476.0,3400,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_32_32
136,781.0,3425,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_32_32
137,720.0,3450,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_32_32
138,883.0,3475,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_32_32
139,918.0,3500,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_32_32
140,678.0,3525,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_32_32
141,922.0,3550,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_32_32
142,913.0,3575,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_32_32
143,857.0,3600,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_32_32
144,784.0,3625,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_32_32
145,732.0,3650,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_32_32
146,1447.0,3675,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_32_32
147,979.0,3700,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_32_32
148,930.0,3725,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_32_32
149,742.0,3750,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_32_32
150,871.0,3775,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_32_32
151,670.0,3800,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_32_32
152,1196.0,3825,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_32_32
153,1053.0,3850,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_32_32
154,880.0,3875,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_32_32
155,1132.0,3900,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_32_32
156,841.0,3925,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_32_32
157,1158.0,3950,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_32_32
158,978.0,3975,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_32_32
159,972.0,4000,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_32_32
160,986.0,4025,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_32_32
161,570.0,4050,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_32_32
162,1034.0,4075,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_32_32
163,1024.0,4100,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_32_32
164,585.0,4125,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_32_32
165,697.0,4150,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_32_32
166,912.0,4175,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_32_32
167,1188.0,4200,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_32_32
168,1071.0,4225,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_32_32
169,661.0,4250,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_32_32
170,805.0,4275,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_32_32
171,1210.0,4300,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_32_32
172,972.0,4325,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_32_32
173,861.0,4350,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_32_32
174,1083.0,4375,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_32_32
175,881.0,4400,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_32_32
176,1039.0,4425,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_32_32
177,1062.0,4450,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_32_32
178,1236.0,4475,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_32_32
179,976.0,4500,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_32_32
180,1318.0,4525,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_32_32
181,1222.0,4550,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_32_32
182,1318.0,4575,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_32_32
183,1123.0,4600,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_32_32
184,1080.0,4625,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_32_32
185,872.0,4650,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_32_32
186,1123.0,4675,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_32_32
187,711.0,4700,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_32_32
188,946.0,4725,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_32_32
189,1084.0,4750,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_32_32
190,944.0,4775,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_32_32
191,905.0,4800,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_32_32
192,936.0,4825,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_32_32
193,837.0,4850,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_32_32
194,904.0,4875,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_32_32
195,1263.0,4900,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_32_32
196,814.0,4925,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_32_32
197,1147.0,4950,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_32_32
198,981.0,4975,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_32_32
199,941.0,5000,lr_0.001_gamma_0.95_decay_rate_0.0003_layers_32_32
