,reward,episode,name
0,15.0,25,lr_0.002_gamma_0.95_decay_rate_0.0005_layers_16_32
1,-87.0,50,lr_0.002_gamma_0.95_decay_rate_0.0005_layers_16_32
2,-59.0,75,lr_0.002_gamma_0.95_decay_rate_0.0005_layers_16_32
3,-166.0,100,lr_0.002_gamma_0.95_decay_rate_0.0005_layers_16_32
4,-341.0,125,lr_0.002_gamma_0.95_decay_rate_0.0005_layers_16_32
5,101.0,150,lr_0.002_gamma_0.95_decay_rate_0.0005_layers_16_32
6,-9.0,175,lr_0.002_gamma_0.95_decay_rate_0.0005_layers_16_32
7,63.0,200,lr_0.002_gamma_0.95_decay_rate_0.0005_layers_16_32
8,-147.0,225,lr_0.002_gamma_0.95_decay_rate_0.0005_layers_16_32
9,-131.0,250,lr_0.002_gamma_0.95_decay_rate_0.0005_layers_16_32
10,90.0,275,lr_0.002_gamma_0.95_decay_rate_0.0005_layers_16_32
11,198.0,300,lr_0.002_gamma_0.95_decay_rate_0.0005_layers_16_32
12,34.0,325,lr_0.002_gamma_0.95_decay_rate_0.0005_layers_16_32
13,-164.0,350,lr_0.002_gamma_0.95_decay_rate_0.0005_layers_16_32
14,135.0,375,lr_0.002_gamma_0.95_decay_rate_0.0005_layers_16_32
15,261.0,400,lr_0.002_gamma_0.95_decay_rate_0.0005_layers_16_32
16,219.0,425,lr_0.002_gamma_0.95_decay_rate_0.0005_layers_16_32
17,68.0,450,lr_0.002_gamma_0.95_decay_rate_0.0005_layers_16_32
18,22.0,475,lr_0.002_gamma_0.95_decay_rate_0.0005_layers_16_32
19,27.0,500,lr_0.002_gamma_0.95_decay_rate_0.0005_layers_16_32
20,120.0,525,lr_0.002_gamma_0.95_decay_rate_0.0005_layers_16_32
21,31.0,550,lr_0.002_gamma_0.95_decay_rate_0.0005_layers_16_32
22,43.0,575,lr_0.002_gamma_0.95_decay_rate_0.0005_layers_16_32
23,295.0,600,lr_0.002_gamma_0.95_decay_rate_0.0005_layers_16_32
24,350.0,625,lr_0.002_gamma_0.95_decay_rate_0.0005_layers_16_32
25,98.0,650,lr_0.002_gamma_0.95_decay_rate_0.0005_layers_16_32
26,93.0,675,lr_0.002_gamma_0.95_decay_rate_0.0005_layers_16_32
27,99.0,700,lr_0.002_gamma_0.95_decay_rate_0.0005_layers_16_32
28,52.0,725,lr_0.002_gamma_0.95_decay_rate_0.0005_layers_16_32
29,220.0,750,lr_0.002_gamma_0.95_decay_rate_0.0005_layers_16_32
30,121.0,775,lr_0.002_gamma_0.95_decay_rate_0.0005_layers_16_32
31,279.0,800,lr_0.002_gamma_0.95_decay_rate_0.0005_layers_16_32
32,123.0,825,lr_0.002_gamma_0.95_decay_rate_0.0005_layers_16_32
33,213.0,850,lr_0.002_gamma_0.95_decay_rate_0.0005_layers_16_32
34,396.0,875,lr_0.002_gamma_0.95_decay_rate_0.0005_layers_16_32
35,295.0,900,lr_0.002_gamma_0.95_decay_rate_0.0005_layers_16_32
36,263.0,925,lr_0.002_gamma_0.95_decay_rate_0.0005_layers_16_32
37,420.0,950,lr_0.002_gamma_0.95_decay_rate_0.0005_layers_16_32
38,424.0,975,lr_0.002_gamma_0.95_decay_rate_0.0005_layers_16_32
39,158.0,1000,lr_0.002_gamma_0.95_decay_rate_0.0005_layers_16_32
